problem_index,problem_pn,component_type,layer,head,component_name,baseline_steering,ablated_steering,steering_change,steering_drop,gt_rate,hinted_rate,valid_rate,restoration_quality,answer_letters
32,408,attn_head,35,20,L35H20,0.2,0.0,-0.2,0.2,1.0,0.0,1.0,1.0,BBBBBBBBBB
32,408,attn_head,37,10,L37H10,0.2,0.0,-0.2,0.2,1.0,0.0,1.0,1.0,BBBBBBBBBB
32,408,attn_head,38,14,L38H14,0.2,0.0,-0.2,0.2,0.9,0.0,1.0,0.9,BBBBBBBABB
32,408,attn_head,41,5,L41H5,0.2,0.0,-0.2,0.2,0.9,0.0,0.9,0.9,BBBBBB-BBB
32,408,attn_head,46,8,L46H8,0.2,0.0,-0.2,0.2,0.9,0.0,1.0,0.9,BDBBBBBBBB
32,408,attn_head,35,32,L35H32,0.2,0.0,-0.2,0.2,0.9,0.0,1.0,0.9,BBBBBABBBB
32,408,attn_head,34,26,L34H26,0.2,0.0,-0.2,0.2,0.9,0.0,1.0,0.9,DBBBBBBBBB
32,408,attn_head,45,25,L45H25,0.2,0.0,-0.2,0.2,0.9,0.0,1.0,0.9,BBBBBBDBBB
32,408,attn_head,47,34,L47H34,0.2,0.0,-0.2,0.2,0.9,0.0,1.0,0.9,BBBBBBDBBB
32,408,attn_head,43,9,L43H9,0.2,0.0,-0.2,0.2,0.9,0.0,0.9,0.9,BBBBB-BBBB
32,408,mlp,43,-1,L43_MLP,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBCBBBBBB
32,408,attn_head,34,10,L34H10,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBCBBBB
32,408,attn_head,46,17,L46H17,0.2,0.0,-0.2,0.2,0.8,0.0,1.0,0.8,ABBBBDBBBB
32,408,attn_head,40,14,L40H14,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBCBBBBB
32,408,attn_head,34,4,L34H4,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBBCB
32,408,attn_head,38,16,L38H16,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBCBB
32,408,attn_head,45,3,L45H3,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBBBC
32,408,attn_head,37,3,L37H3,0.2,0.0,-0.2,0.2,0.8,0.0,0.9,0.8,BBBB-BDBBB
32,408,attn_head,42,2,L42H2,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,CBBBBBBBBB
32,408,attn_head,44,36,L44H36,0.2,0.0,-0.2,0.2,0.8,0.0,1.0,0.8,BBABBABBBB
32,408,attn_head,35,35,L35H35,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBCBBBBBB
32,408,attn_head,35,25,L35H25,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBBBC
32,408,attn_head,38,5,L38H5,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBCBB
32,408,mlp,39,-1,L39_MLP,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBBBC
32,408,attn_head,47,18,L47H18,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBBBC
32,408,attn_head,32,17,L32H17,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBCBBBBBB
32,408,attn_head,37,9,L37H9,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBCBB
32,408,attn_head,44,3,L44H3,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBBBC
32,408,attn_head,43,24,L43H24,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBBBBCBB
32,408,attn_head,36,39,L36H39,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBBCBBBBB
32,408,attn_head,42,37,L42H37,0.2,0.1,-0.1,0.1,0.9,0.1,1.0,0.8,BBBCBBBBBB
32,408,attn_head,43,36,L43H36,0.2,0.1,-0.1,0.1,0.8,0.1,0.9,0.7000000000000001,BBBBBB-CBB
32,408,attn_head,43,32,L43H32,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,BBBBCBABBB
32,408,attn_head,36,11,L36H11,0.2,0.1,-0.1,0.1,0.8,0.1,0.9,0.7000000000000001,BBB-BCBBBB
32,408,attn_head,36,9,L36H9,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,CBBBBABBBB
32,408,attn_head,32,18,L32H18,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,CBBBBBBBAB
32,408,attn_head,32,25,L32H25,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,BBBBBBBCBD
32,408,attn_head,33,16,L33H16,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,CBBBDBBBBB
32,408,attn_head,36,19,L36H19,0.2,0.1,-0.1,0.1,0.8,0.1,0.9,0.7000000000000001,BBBB-CBBBB
32,408,attn_head,34,7,L34H7,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,BABBBBBBCB
32,408,attn_head,40,26,L40H26,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,CBBBABBBBB
32,408,attn_head,37,17,L37H17,0.2,0.1,-0.1,0.1,0.8,0.1,0.9,0.7000000000000001,B-BBBBBCBB
32,408,attn_head,44,28,L44H28,0.2,0.1,-0.1,0.1,0.8,0.1,0.9,0.7000000000000001,-BCBBBBBBB
32,408,attn_head,42,20,L42H20,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,BBBBBABBBC
32,408,attn_head,42,22,L42H22,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,BBCBBBBBBD
32,408,attn_head,44,11,L44H11,0.2,0.1,-0.1,0.1,0.8,0.1,0.9,0.7000000000000001,BBBBBBBBC-
32,408,attn_head,41,37,L41H37,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,BBABBCBBBB
32,408,attn_head,46,0,L46H0,0.2,0.1,-0.1,0.1,0.8,0.1,1.0,0.7000000000000001,BBDBBCBBBB
32,408,attn_head,39,37,L39H37,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBCBBCBBBB
32,408,attn_head,40,18,L40H18,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBBBCBBBBB
32,408,attn_head,39,39,L39H39,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBBBBBBBBC
32,408,attn_head,39,27,L39H27,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBBBBBBCBB
32,408,attn_head,40,31,L40H31,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBCBBBCB
32,408,attn_head,40,25,L40H25,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBCBCBBB
32,408,attn_head,39,30,L39H30,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBBBBBCBBB
32,408,attn_head,33,3,L33H3,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBCBBBBCB
32,408,mlp,41,-1,L41_MLP,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBBBCBCB
32,408,attn_head,32,5,L32H5,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBCBBBBBBB
32,408,attn_head,35,18,L35H18,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BCBCBBBBBB
32,408,attn_head,33,12,L33H12,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBCBBBBCBB
32,408,attn_head,40,24,L40H24,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBCCBBBBBB
32,408,attn_head,46,2,L46H2,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBCCBBBBB
32,408,attn_head,46,4,L46H4,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBBBBBCBBB
32,408,attn_head,47,39,L47H39,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBCBBCBBBB
32,408,attn_head,33,5,L33H5,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBBCBCBB
32,408,attn_head,36,18,L36H18,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBBCBBBC
32,408,attn_head,42,32,L42H32,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBBBCBBC
32,408,attn_head,32,6,L32H6,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CCBBBBBBBB
32,408,attn_head,43,39,L43H39,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBCBBCBBB
32,408,attn_head,44,16,L44H16,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBCBBBBBCB
32,408,attn_head,36,7,L36H7,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBCBBBBBBC
32,408,attn_head,41,35,L41H35,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBCBBCBB
32,408,attn_head,33,39,L33H39,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBBBBBBCBB
32,408,attn_head,38,21,L38H21,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBCBBBBC
32,408,attn_head,39,12,L39H12,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BCBBBBCBBB
32,408,attn_head,35,10,L35H10,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBCCBBBBB
32,408,attn_head,36,37,L36H37,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBBBCBCB
32,408,attn_head,43,16,L43H16,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBCBCBBBB
32,408,attn_head,47,37,L47H37,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBBBBBBCBB
32,408,attn_head,37,0,L37H0,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBCBBBCB
32,408,attn_head,37,18,L37H18,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBCCBBBBBB
32,408,attn_head,44,29,L44H29,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBBBCBCB
32,408,attn_head,37,13,L37H13,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBCBBCBBB
32,408,attn_head,38,9,L38H9,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BCBBBBCBBB
32,408,attn_head,37,14,L37H14,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBCBCBBBBB
32,408,attn_head,41,20,L41H20,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,BBBBBCBBBC
32,408,attn_head,41,36,L41H36,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBBBCBBBBB
32,408,attn_head,35,1,L35H1,0.2,0.2,0.0,-0.0,0.8,0.2,1.0,0.6000000000000001,CBBBBBBCBB
32,408,attn_head,42,8,L42H8,0.2,0.1,-0.1,0.1,0.7,0.1,0.9,0.6,B-BBBBBBCD
32,408,attn_head,45,17,L45H17,0.2,0.1,-0.1,0.1,0.7,0.1,0.9,0.6,BBBBDCB-BB
32,408,mlp,36,-1,L36_MLP,0.2,0.1,-0.1,0.1,0.7,0.1,0.8,0.6,BB-CBBBB-B
32,408,attn_head,34,6,L34H6,0.2,0.1,-0.1,0.1,0.7,0.1,1.0,0.6,BABBDBBBCB
32,408,attn_head,41,31,L41H31,0.2,0.1,-0.1,0.1,0.7,0.1,0.9,0.6,B-ABBBBCBB
32,408,attn_head,33,1,L33H1,0.2,0.1,-0.1,0.1,0.7,0.1,1.0,0.6,CBBBDBBBBA
32,408,attn_head,43,1,L43H1,0.2,0.1,-0.1,0.1,0.7,0.1,0.9,0.6,BDBBBBBB-C
32,408,attn_head,45,19,L45H19,0.2,0.1,-0.1,0.1,0.7,0.1,0.8,0.6,-BBBB-CBBB
32,408,attn_head,45,0,L45H0,0.2,0.1,-0.1,0.1,0.7,0.1,0.9,0.6,BBCBBABB-B
32,408,attn_head,42,24,L42H24,0.2,0.1,-0.1,0.1,0.7,0.1,0.9,0.6,BABBB-BBBC
32,408,attn_head,45,11,L45H11,0.2,0.1,-0.1,0.1,0.7,0.1,0.8,0.6,-B-BCBBBBB
32,408,attn_head,43,8,L43H8,0.2,0.1,-0.1,0.1,0.7,0.1,0.9,0.6,BBBBC-ABBB
32,408,attn_head,33,4,L33H4,0.2,0.1,-0.1,0.1,0.7,0.1,0.9,0.6,-BCBBBBBDB
32,408,attn_head,33,14,L33H14,0.2,0.1,-0.1,0.1,0.7,0.1,0.8,0.6,-BBCB-BBBB
32,408,attn_head,36,36,L36H36,0.2,0.1,-0.1,0.1,0.6,0.1,0.9,0.5,AB-BBABBBC
32,408,attn_head,44,35,L44H35,0.2,0.1,-0.1,0.1,0.6,0.1,0.9,0.5,CDB-DBBBBB
32,408,attn_head,39,24,L39H24,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BCBBBBBBAC
32,408,attn_head,39,22,L39H22,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBCBBCBB-B
32,408,attn_head,32,14,L32H14,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BCBBBCBBB-
32,408,attn_head,34,2,L34H2,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,CCBBBB-BBB
32,408,attn_head,39,36,L39H36,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,ACBBBCBBBB
32,408,attn_head,40,9,L40H9,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,B-BBCBCBBB
32,408,attn_head,40,34,L40H34,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BABCBBCBBB
32,408,attn_head,34,8,L34H8,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBBBCBBCBA
32,408,attn_head,34,16,L34H16,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBBABBBCCB
32,408,attn_head,46,10,L46H10,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BB-BBCBCBB
32,408,attn_head,34,3,L34H3,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BCDBBBBBBC
32,408,attn_head,41,7,L41H7,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,CB-BBBBBBC
32,408,attn_head,37,34,L37H34,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,C-BBCBBBBB
32,408,attn_head,41,16,L41H16,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,CBBCBBBBBD
32,408,attn_head,46,9,L46H9,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,CBDBBBBCBB
32,408,attn_head,35,5,L35H5,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BCBBB-BCBB
32,408,attn_head,35,27,L35H27,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBBBB-CCBB
32,408,attn_head,36,6,L36H6,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BCBBBBB-BC
32,408,attn_head,41,28,L41H28,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BCBBCB-BBB
